Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Ferrari California T,gas,Convertible,rear wheel drive,1729.5477068100001,2.6695399999999996,0.53,0.31,2.1,741.0
Ferrari F12 Berlinetta,gas,Coupe,rear wheel drive,1630.2109777800001,2.7203399999999998,0.52,0.26,2.0,874.0
Hyundai Equus,gas,Sedan,rear wheel drive,2065.20606061,3.04546,0.55,0.27,2.2,730.0
Hyundai Genesis,gas,Sedan,all wheel drive,1948.17922915,3.0099,0.55,0.27,2.2,730.0
Hyundai Genesis Coupe,gas,Coupe,rear wheel drive,1604.8098050600001,2.8194,0.52,0.26,2.0,619.0
Land Rover LR4,gas,SUV,four wheel drive,2565.06485235,2.8854399999999996,0.52,0.35,2.6,820.0
Lincoln MKS,gas,Sedan,all wheel drive,1991.72409667,2.86766,0.55,0.27,2.2,683.0
Mercedes-Benz GL-Class,gas,SUV,all wheel drive,2436.24461927,3.0759399999999997,0.52,0.35,2.6,949.0
MINI Cooper,gas,Hatchback,front wheel drive,1190.67997125,2.49428,0.54,0.3,2.1,417.0
MINI Cooper Clubman,gas,Hatchback,front wheel drive,1367.5809955500001,2.6695399999999996,0.54,0.3,2.1,475.0
