Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Mazda MX-5 Miata,gas,Convertible,rear wheel drive,1089.98246511,2.30886,0.53,0.31,2.1,428.0
Mazda MX-5 Miata RF,gas,Convertible,rear wheel drive,1112.20849124,2.30886,0.53,0.31,2.1,428.0
McLaren 600LT Spider,gas,Convertible,rear wheel drive,1296.82058583,2.6695399999999996,0.53,0.31,2.1,683.0
McLaren 720S,gas,Coupe,rear wheel drive,1423.8264494300001,2.6695399999999996,0.52,0.26,2.0,683.0
McLaren 720S Spider,gas,Convertible,rear wheel drive,1472.81442539,2.667,0.53,0.31,2.1,683.0
McLaren GT,gas,Coupe,rear wheel drive,1534.95658008,2.67462,0.52,0.26,2.0,683.0
Mercedes-Benz A-Class,gas,Sedan,front wheel drive,1490.05093545,2.72796,0.55,0.27,2.2,485.0
Mercedes-Benz AMG GT,gas,Convertible,rear wheel drive,1699.1570180200001,2.6289,0.53,0.31,2.1,712.0
Mercedes-Benz C-Class,gas,Convertible,all wheel drive,1919.1493174700001,2.83972,0.53,0.31,2.1,626.0
Mercedes-Benz CLA-Class,gas,Sedan,all wheel drive,1589.84125685,2.72796,0.55,0.27,2.2,485.0
Mercedes-Benz E-Class,gas,Wagon,all wheel drive,2143.22394825,2.93878,0.56,0.29,2.2,759.0
Mercedes-Benz G-Class,gas,SUV,four wheel drive,2651.24740265,2.89052,0.52,0.35,2.6,949.0
Mercedes-Benz GLA-Class,gas,SUV,front wheel drive,1495.04045152,2.70002,0.52,0.35,2.6,532.0
Mercedes-Benz GLB-Class,gas,SUV,front wheel drive,1650.16904206,2.82956,0.52,0.35,2.6,572.0
Mercedes-Benz GLC-Class,gas,SUV,all wheel drive,1901.00562267,2.87274,0.52,0.35,2.6,626.0
Mercedes-Benz GLC-Class Coupe,gas,SUV,all wheel drive,1920.96368695,2.87274,0.52,0.35,2.6,626.0
Mercedes-Benz GLE-Class,gas,SUV,all wheel drive,2130.06976952,2.99466,0.52,0.35,2.6,809.0
Mercedes-Benz Maybach,gas,Sedan,all wheel drive,2345.0725529,3.3655,0.55,0.27,2.2,759.0
Mercedes-Benz S-Class,gas,Sedan,all wheel drive,2185.86163103,3.16484,0.55,0.27,2.2,759.0
Mercedes-Benz SL-Class,gas,Convertible,rear wheel drive,1734.9908152500002,2.58572,0.53,0.31,2.1,712.0
Mercedes-Benz SLC-Class,gas,Convertible,rear wheel drive,1599.82028899,2.43078,0.53,0.31,2.1,572.0
Mitsubishi Eclipse Cross,gas,SUV,all wheel drive,1554.91464436,2.6695399999999996,0.52,0.35,2.6,568.0
Mitsubishi Mirage G4,gas,Sedan,front wheel drive,985.2026276400001,2.55016,0.55,0.27,2.2,331.0
Mitsubishi Outlander,gas,SUV,all wheel drive,1574.8727086400002,2.6695399999999996,0.52,0.35,2.6,568.0
Mitsubishi Outlander Sport,gas,SUV,all wheel drive,1480.0719033100002,2.6695399999999996,0.52,0.35,2.6,568.0
Nissan 370Z,gas,Coupe,rear wheel drive,1511.82336921,2.55016,0.52,0.26,2.0,683.0
Nissan Altima,gas,Sedan,front wheel drive,1510.0089997300001,2.82448,0.55,0.27,2.2,583.0
Nissan Armada,gas,SUV,rear wheel drive,2591.37320981,3.0759399999999997,0.52,0.35,2.6,935.0
Nissan Frontier,gas,Truck (Crew Cab),four wheel drive,2130.06976952,3.19786,0.7,0.42,2.8,759.0
Nissan GT-R,gas,Coupe,all wheel drive,1753.13451005,2.77876,0.52,0.26,2.0,701.0
Nissan Kicks,gas,Hatchback,front wheel drive,1197.03026443,2.61874,0.54,0.3,2.1,388.0
Nissan Maxima,gas,Sedan,front wheel drive,1614.3352448300002,2.77622,0.55,0.27,2.2,647.0
Nissan Murano,gas,SUV,all wheel drive,1872.8828957300002,2.82448,0.52,0.35,2.6,683.0
